date,amount_inr,category,direction,spending_label
2024-12-20,3270.32,public_transport,debit,conservative
2024-07-22,129373.3,electronics,debit,aggressive
2024-09-07,141620.59,luxury,debit,aggressive
2023-03-31,6682.68,public_transport,debit,conservative
2024-06-02,1550.4,rent,credit,conservative
2023-07-06,24870.19,groceries,debit,moderate
2023-12-30,1718.18,insurance,debit,conservative
2023-07-08,113344.68,subscriptions,debit,aggressive
2024-06-10,1598.29,insurance,debit,conservative
2024-12-16,9740.04,shopping,debit,moderate
2023-12-19,6305.33,medical,credit,conservative
2023-08-23,7240.69,insurance,debit,conservative
2023-02-09,4810.92,rent,debit,conservative
2024-08-23,140627.11,travel,debit,aggressive
2024-03-26,13787.93,groceries,debit,moderate
2023-01-07,15955.39,utilities,debit,moderate
2023-11-14,2394.79,public_transport,debit,conservative
2024-07-04,17347.79,dining,debit,moderate
2023-07-01,4664.82,medical,debit,conservative
2023-11-14,5964.08,insurance,debit,conservative
2024-06-08,7809.85,groceries,debit,conservative
2023-06-17,108842.2,shopping,debit,aggressive
2024-03-10,131965.82,shopping,debit,aggressive
2024-06-10,10928.96,travel,debit,aggressive
2024-06-27,2875.96,entertainment,debit,moderate
2023-09-28,63807.66,travel,debit,aggressive
2023-03-26,7148.18,groceries,debit,conservative
2024-06-14,859.05,public_transport,debit,conservative
2024-10-28,140509.37,luxury,debit,aggressive
2023-07-31,40155.64,electronics,debit,aggressive
2023-12-09,134719.79,entertainment,debit,aggressive
2024-09-03,1030.07,medical,debit,conservative
2023-01-14,1991.32,rent,debit,conservative
2023-02-05,6246.11,utilities,debit,moderate
2024-11-24,3388.51,medical,debit,conservative
2023-03-11,109720.81,travel,debit,aggressive
2024-03-12,5932.17,medical,debit,conservative
2023-08-29,68754.88,subscriptions,debit,aggressive
2024-08-05,126197.73,electronics,debit,aggressive
2024-12-02,18923.1,rent,debit,moderate
2024-07-18,19237.69,rent,debit,moderate
2024-09-15,2024.73,medical,credit,conservative
2024-08-08,121316.26,subscriptions,debit,aggressive
2024-06-13,59943.01,entertainment,credit,aggressive
2024-09-17,5413.54,medical,debit,conservative
2024-03-08,1631.56,insurance,debit,conservative
2023-03-04,28091.12,shopping,debit,aggressive
2023-08-21,1340.15,insurance,debit,conservative
2024-04-27,5870.56,rent,debit,conservative
2024-08-29,133759.07,electronics,debit,aggressive
2024-12-09,24622.16,utilities,debit,moderate
2024-10-01,19544.91,travel,debit,moderate
2023-11-28,2133.15,insurance,debit,conservative
2023-08-09,135642.39,subscriptions,credit,aggressive
2024-12-28,73969.53,luxury,debit,aggressive
2024-06-15,8817.2,shopping,debit,moderate
2023-04-23,15220.59,rent,debit,moderate
2023-03-08,7196.86,insurance,credit,conservative
2024-08-08,4830.72,utilities,debit,conservative
2023-06-14,4665.17,groceries,debit,conservative
2023-01-24,7507.14,rent,debit,conservative
2024-08-17,6838.82,medical,debit,conservative
2023-08-04,16758.72,utilities,debit,moderate
2024-01-05,16963.71,subscriptions,debit,aggressive
2023-05-26,16327.9,electronics,debit,aggressive
2024-12-09,550.3,utilities,debit,conservative
2024-12-09,47976.82,subscriptions,debit,aggressive
2023-03-20,75651.86,investments,debit,aggressive
2024-01-02,1322.4,rent,credit,conservative
2024-04-09,5800.71,dining,debit,moderate
2024-03-17,17933.17,rent,debit,moderate
2024-10-11,1972.46,utilities,debit,conservative
2023-05-29,82227.7,dining,debit,aggressive
2023-10-26,5566.93,travel,debit,moderate
2023-11-21,140518.75,shopping,debit,aggressive
2023-12-19,85530.12,electronics,debit,aggressive
2024-02-12,6729.46,utilities,debit,moderate
2024-01-20,7311.54,dining,debit,moderate
2024-10-31,85982.32,electronics,debit,aggressive
2024-11-28,38142.34,investments,debit,aggressive
2023-08-22,5036.89,shopping,debit,moderate
2023-11-18,146467.0,luxury,debit,aggressive
2024-07-17,96414.64,subscriptions,debit,aggressive
2023-02-03,12296.54,groceries,debit,moderate
2024-01-15,2664.25,utilities,debit,conservative
2023-03-06,1120.45,rent,debit,conservative
2024-11-26,1124.13,medical,debit,conservative
2023-08-29,11482.02,medical,debit,moderate
2023-03-19,6704.76,utilities,debit,moderate
2023-02-26,9440.52,shopping,debit,moderate
2023-09-05,5194.27,dining,credit,moderate
2023-11-24,79293.13,shopping,debit,aggressive
2024-02-01,6645.08,rent,debit,conservative
2024-03-12,6878.54,medical,debit,moderate
2024-01-12,17093.54,dining,credit,moderate
2023-05-10,6413.62,entertainment,debit,moderate
2023-08-31,8792.18,utilities,debit,moderate
2023-02-02,1403.46,insurance,debit,conservative
2024-03-06,85149.2,travel,debit,aggressive
2024-05-10,1150.29,utilities,debit,conservative
2024-03-12,7413.51,medical,credit,conservative
2024-06-02,21485.43,medical,debit,moderate
2024-11-14,91867.29,luxury,debit,aggressive
2024-12-19,10772.17,dining,debit,moderate
2024-10-01,1732.19,rent,debit,conservative
2023-06-20,112258.75,travel,debit,aggressive
2023-04-05,5006.09,public_transport,debit,conservative
2023-04-24,21920.7,groceries,debit,moderate
2023-05-17,3852.12,utilities,debit,moderate
2024-05-24,97766.63,shopping,debit,aggressive
2024-04-02,3013.13,utilities,debit,conservative
2024-06-29,7156.08,shopping,debit,aggressive
2024-01-13,140554.19,travel,debit,aggressive
2023-11-06,116074.44,subscriptions,debit,aggressive
2024-09-14,14813.58,utilities,debit,moderate
2023-01-02,24837.53,rent,debit,moderate
2024-11-03,4871.82,shopping,debit,moderate
2024-08-04,6147.75,public_transport,debit,conservative
2023-03-18,16675.23,investments,debit,aggressive
2024-08-19,129364.35,travel,debit,aggressive
2023-03-27,884.13,insurance,debit,conservative
2024-12-10,7166.34,groceries,debit,conservative
2023-03-30,22454.99,rent,debit,moderate
2024-05-04,9781.25,shopping,debit,aggressive
2023-04-05,3351.47,utilities,debit,conservative
2024-01-25,5136.76,insurance,debit,conservative
2023-03-05,139741.3,dining,debit,aggressive
2023-10-27,12492.8,groceries,debit,moderate
2024-08-13,101582.3,luxury,debit,aggressive
2024-03-06,12306.81,dining,debit,aggressive
2023-11-01,5615.25,insurance,debit,conservative
2024-06-20,64421.38,travel,credit,aggressive
2024-06-21,1705.72,utilities,debit,conservative
2024-07-24,3939.08,medical,debit,conservative
